성과연도,성과고유번호,성과구분,성과명,전담기관 등록(기탁)번호,저널명 OR 성과명(영문) 등,저자 OR 저작자 등,IPC OR 등록기관 등,국내외구분 OR 제조사 등,초록(국문),초록(영문),키워드,유발과제명,과제고유번호,부처명,과제수행기관,연구수행주체,6T분류,과학기술표준분류
2013,PTO-2013-0025654097,특허,광활성 메티오닌 모사체 표지 단백질 생합성을 위한 메티오닐 tRNA 합성효소 변이체,10-2013-0061895,nan,한국생명공학연구원;,"C12N 9/00,C12N 15/64",대한민국,nan,nan,nan,폐암 치료용 흡입/주사형 핵산 전달시스템,1711005914,미래창조과학부,한국생명공학연구원,출연연구소,유전자 치료기술,유전학/유전공학
2013,PTO-2013-0025654080,특허,EEG (Electroencephalography) 신호 주파수의 상대적 비율의 변화 감지에 의한 간질발작 예측방법,10-2013-0033842,nan,한국과학기술원;,"A61B 5/369,A61B 5/374",대한민국,nan,nan,nan,바이오메디컬 응용을 위한 생체회로 시뮬레이션 IT융합플랫폼기술 개발,1711005054,미래창조과학부,한국과학기술원,대학,기타 정보기술,기타정보/통신
2013,PTR-2013-0025654043,특허,신규한 하이드로퓨란 유도체와 이의 제조방법 및 이로부터 유도되는 신규한 하이드로아이소벤조퓨란 유도체와 이의 제조방법,10-1243612-0000,nan,강원대학교산학협력단;,"C07D 307/79,C07D 491/048,B01J 23/72",대한민국,nan,nan,nan,헤테로 고리 기반 형광 나노바이오소재 개발 및 특성 연구,1345199154,미래창조과학부,강원대학교,대학,기타 나노소재기술,융합화학
2013,PTR-2013-0025654018,특허,페릴렌 코팅층을 이용하는 PDMS 기반의 유연성 전극 및 그 제조 방법,10-1241337-0000,nan,광주과학기술원;,H01B 5/14,대한민국,nan,nan,nan,생체적합성이 높은 유연하고 침습 가능한 미세신경전극 개발,1345203006,미래창조과학부,광주과학기술원,대학,의과학·의공학 기술,신체기능 복원기기
2013,PTO-2013-0025653990,특허,미공개,10-2013-0029413,nan,서울대학교산학협력단;,H04B 7/14,대한민국,nan,nan,nan,고효율 고신뢰도 무선통신을 위한 다기능 MIMO 기반 다중 홉 기술,1345197616,미래창조과학부,서울대학교,대학,4세대 이동통신,이동통신 시스템
2013,PTR-2013-0025653205,특허,실리콘 나노선을 이용한 암진단 키트,10-1243348-0000,nan,전북대학교 산학협력단;,"G01N 33/574,G01N 33/552,G01N 33/543,B82B 3/00,B82Y 15/00,G01N 35/00",대한민국,nan,nan,nan,나노리소그라피 기반 LED 기초 연구실,1711000109,미래창조과학부,전북대학교,대학,나노패터닝 공정기술,응집물질물리
2013,PTR-2013-0025738535,특허,갈륨비소 다결정 잉곳 화학 에칭 세정장치,10-1341937-0000,nan,엑스탈테크놀로지주식회사;,H01L 21/67,대한민국,nan,nan,nan,수직온도구배 성장법에 의한 광-통신 소자용 대구경 100mm GaAs 단결정 Ingot 기술개발,1425070093,중소기업청,엑스탈테크놀로지(주),중소기업,집적회로기술,반도체소자/시스템
2013,PTO-2013-0025675448,특허,DETECTION METHODS OF NADP(H) USING MBFP,13/811809,nan,전남대 산학협력단;,nan,미국,nan,nan,nan,인공 유전자회로 구축 및 제어기술 개발,1345172696,교육과학기술부,전남대학교,대학,유전체기반 기술,융합바이오
2013,PTR-2013-0025675360,특허,"다중 다공성 탄소 나노구조체, 그 제조방법 및 이를 이용한 태양전지용 상대전극",10-1240246-0000,nan,고려대학교 산학협력단;,"H01L 31/04,C01B 31/02,B82B 1/00,B82B 3/00",대한민국,nan,nan,nan,Graphene의 합성 및 표면 기능화 연구,1345154496,교육과학기술부,고려대학교 산학협력단,대학,"나노소재기술(나노분말소재, 광학용 나노소재, 고기능 시너지 소재, 촉매·환경·기능소재에 중점)",나노화학
2013,PTO-2013-0025655345,특허,당쇄 함유 폴리머 혹은 당쇄함유 폴리머 복합체,2013-246145,nan,"한국생명공학연구원,somarcorporation;",nan,일본,nan,nan,nan,분자진단ㆍ이미징을 위한 스위치 생체분자 개발,1345202288,미래창조과학부,한국생명공학연구원,출연연구소,기능성 바이오소재 기반기술,바이오이미징
2013,PTO-2013-0025655321,특허,직물전극 키트 및 이를 장착한 동잡음 최소화 의복,10-2013-0106380,nan,"연세대학교 산학협력단, 건국대학교 산학협력단;","A41D 27/00,A61B 5/24",대한민국,nan,nan,nan,자계유도성 전도율 센싱 방식에 기반한 심장박동 측정 의류의 성능 향상 및 디자인 다양화 연구,1711000441,미래창조과학부,연세대학교,대학,의과학·의공학 기술,달리 분류되지 않는 의류
2013,PTR-2013-0025655302,특허,집게를 구비하는 극미세 조작 전자현미경 스테이지,10-1321990-0000,nan,서울대학교산학협력단;,"H01J 37/20,H01J 37/28,H01J 37/26,H01J 37/305",대한민국,nan,nan,nan,에너지 환경용 재료와 소자의 실시간 분석을 위한 복합환경 조성 원천기술 개발,1345202411,미래창조과학부,서울대학교,대학,나노 측정기술(100 nm이하),재료구조/조직 분석기술
2013,PTR-2013-0025655367,특허,파동전파 접합구조 및 이를 이용한 파동 다이오드와 반가산기,10-1232689-0000,nan,서울대학교산학협력단;,H01L 31/10,대한민국,nan,nan,nan,초고속 정보처리를 위한 나노-플라즈모닉 집적회로연구,1711001158,미래창조과학부,서울대학교,대학,집적회로기술,광응용기기
2013,PTO-2013-0025651784,특허,충격흡수 기능을 갖는 조향축 어셈블리,10-2013-0021697,nan,동아대학교 산학협력관;,"B62D 1/19,F16C 3/02",대한민국,nan,nan,nan,초경량 승용차용 조향계 링크구조부품 설계를 위한 전문인력양성,1345201410,교육부,동아대학교,대학,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,차체/경량화기술
2013,PTO-2013-0025651600,특허,"양자구조를 포함하는 나노구조체, 이의 제조방법 및 이를 포함하는 광자 방출 소자",10-2013-0119295,nan,한국과학기술원;,C09K 11/00,대한민국,nan,nan,nan,밴드갭이 넓은 반도체 물질을 이용한 상온 폴라리톤 응축 현상 구현,9991000957,미래창조과학부,한국과학기술원,대학,나노 photonics기술,반도체
2013,PTO-2013-0025651550,특허,중계기 기반 셀룰러 시스템에서 스펙트럼 재사용을 위한 자원할당방법,10-2013-0013367,nan,서울대학교 산학협력단;,"H04W 72/04,H04W 72/08",대한민국,nan,nan,nan,중첩 Super-WiFi/LTE 셀룰라 네트워크에서 통합 무선자원관리 기법 설계,1345211164,미래창조과학부,서울대학교,대학,4세대 이동통신,이동통신 시스템
2013,PTO-2013-0025651469,특허,임피던스가 조절 가능한 메카트로닉 시스템 및  메카트로닉 시스템의 기계적 임피던스를 조절하는 제어방법,10-2013-0077728,nan,서강대학교산학협력단;,"B25J 9/16,B25J 19/06,B25J 13/00",대한민국,nan,nan,nan,"고속주행로봇을 위한 4족 보행 동물의 상황인지, 주행패턴 및 균형유지방법의 분석 및 알고리즘화 연구",1711005361,미래창조과학부,서강대학교,대학,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,로봇/자동화기계
2013,PTO-2013-0025651638,특허,음향방출기법을 이용한 현장암반의 손상도 추정 시스템 및 그 추정 방법,10-2013-0043017,nan,김진섭;,"G01N 29/14,G16C 10/00",대한민국,nan,nan,nan,공학적방벽 성능향상 기술개발,1345203479,미래창조과학부,한국원자력연구원,출연연구소,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,방사성폐기물 처분/관리기술
2013,PTO-2013-0025655406,특허,신규한 이미다졸 유도체 및 이의 치료학적 용도,PCT/KR2013/008699,nan,연세대학교 산학협력단;,nan,국제,nan,nan,nan,생기능성 유기분자 연구,1711005937,미래창조과학부,연세대학교,대학,생명현상 및 기능연구,유기화학
2013,PTO-2013-0025652737,특허,MR유체를 이용한 선형 작동기,10-2013-0017565,nan,인하대학교 산학협력단;,"B25J 19/06,B25J 9/16,F16F 13/30,A61B 17/00,A61B 34/30,B25J 11/00",대한민국,nan,nan,nan,스마트 작동기를 이용한 최소 침습 수술용 햅틱 로봇 시스템의 구축,1345198086,미래창조과학부,인하대학교,대학,의과학·의공학 기술,치료/진단기기
2013,PTO-2013-0025652831,특허,암특이적 유전자를 표적하는 트랜스-스플라이싱 라이보자임의 조절 유도체를 포함하는 재조합 아데노바이러스 및 이의 용도,10-2013-0099276,nan,단국대학교 산학협력단;,"C12N 15/861,C12N 15/12,A61P 35/00",대한민국,nan,nan,nan,유전자 전사 및 전사 후 자가 조절 표적화 유전자 치료기술 개발,1345197218,미래창조과학부,단국대학교,대학,유전자 치료기술,유전학/유전공학
2013,PTR-2013-0025653946,특허,3차원 나노구조체 및 그 제조방법,10-1249981-0000,nan,한국과학기술원;,"B82B 3/00,B82B 1/00,B82Y 40/00",대한민국,nan,nan,nan,새로운 방식의 나노패턴 기술 개발과 응용,1345201584,미래창조과학부,한국과학기술원,대학,나노패터닝 공정기술,나노소재기술
2013,PTO-2013-0025653940,특허,Method of Splicing 2g ReBCO High Temperature Superconductors using partial Micro-Melting Diffusion Pressurized splicing by direct fact-to-face contact of high temperature supecondcting layers and reco...,13/882289,nan,K Joins;,nan,미국,nan,nan,nan,이동형 고자장 NMR/MRI의 영구전류모드 운전을 위한 2세대 고온초전도 마그넷 설계 및 제작 기술 개발,1711000557,미래창조과학부,고려대학교,대학,기타 보건의료 관련 응용기술,치료/진단기기
2013,PTO-2013-0025653894,특허,전면부 카메라 및 후면부 카메라를 이용하여 제어 명령을 생성하는 이동 단말,10-2013-0114195,nan,성균관대학교 산학협력단;,"G06F 3/01,G06F 3/00,G06T 7/90",대한민국,nan,nan,nan,컨버젼스연구소,1345201306,교육부,성균관대학교,대학,기타 정보처리시스템 및 S/W 기술,소프트웨어
2013,PTO-2013-0025653879,특허,"양친매성 핵산분자, 이를 포함하는 핵산 복합체 및 이의 약물 전달체로서의 용도",10-2013-0047644,nan,한국과학기술연구원;,"A61K 47/50,A61K 31/704,C12N 15/11",대한민국,nan,nan,nan,PET용 프로브 발굴 원천 기술 개발 및 전임상 스크리닝,1711004126,미래창조과학부,경북대학교,대학,생명현상 및 기능연구,의약품/의약품개발
2013,PTR-2013-0025653852,특허,영양성과 관능성이 우수한 멸균 타락죽의 제조방법,10-1221546-0000,nan,한국원자력연구원;,"A23L 23/00,A23L 7/10,A23L 3/36,A23L 3/26,A23L 33/105",대한민국,nan,nan,nan,방사선 융합 맞춤형 목적식품 가공기술 개발,1711005022,미래창조과학부,한국원자력연구원,출연연구소,식품생명공학기술,방사선기술
2013,PTO-2013-0025653842,특허,미공개,10-2013-0108022,nan,국립암센터;,"C12Q 1/00,G01N 1/28",대한민국,nan,nan,nan,CTC 조직-특이 분자생물학적 특성 분석,1711005956,미래창조과학부,국립암센터,출연연구소,기능성 바이오소재 기반기술,의생명과학
2013,PTO-2013-0025652998,특허,"나프탈이미드 아민 유도체, 이의 제조방법 및 이를 이용한 이산화탄소 검출 방법",10-2013-0155431,nan,이화여자대학교 산학협력단;,"C07D 221/14,G01N 31/22,G01N 21/78",대한민국,nan,nan,nan,다차원 유기소재 연구,1711001732,미래창조과학부,이화여자대학교,대학,기타 나노소재기술,유기초분자화학
2013,PTO-2013-0025652944,특허,금속 분말 제조장치 및 그 제조방법,10-2013-0098774,nan,KAERI/KBSI;,"B22F 9/04,B22F 9/16,G01L 21/00,F04D 19/04",대한민국,nan,nan,nan,ITER 삼중수소 저장·공급 DU용기 개발 및 시험,1711006841,미래창조과학부,한국원자력연구원,출연연구소,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,연료주기기술
2013,PTR-2013-0025652884,특허,팔라듐 촉매 커플링 반응을 위한 비색 고성능 스크리닝 방법,10-1292650-0000,nan,중앙대학교 산학협력단;,"G01N 31/22,C12Q 1/68,G01N 21/25,B82Y 15/00",대한민국,nan,nan,nan,신기능이미징연구소,9991001416,교육부,중앙대학교,대학,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,복합물리
2013,PTR-2013-0025650076,특허,무릎관절 보조를 통한 보행 보조가 가능한 무릎보장구,10-1330343-0000,nan,경상대학교산학협력단;,"A61H 3/00,G01R 19/00",대한민국,nan,nan,nan,뇌부위 표적 약물전달을 위한 자성체 나노입자 원격제어 시스템 개발,1345200718,미래창조과학부,경상대학교,대학,의과학·의공학 기술,중재적 치료기기
