성과연도,성과고유번호,성과구분,성과명,전담기관 등록(기탁)번호,저널명 OR 성과명(영문) 등,저자 OR 저작자 등,IPC OR 등록기관 등,국내외구분 OR 제조사 등,초록(국문),초록(영문),키워드,유발과제명,과제고유번호,부처명,과제수행기관,연구수행주체,6T분류,과학기술표준분류,연구개발단계,정부연구비,총연구비,당해연구시작일,당해연구종료일
2013,PTO-2013-0025654097,특허,광활성 메티오닌 모사체 표지 단백질 생합성을 위한 메티오닐 tRNA 합성효소 변이체,10-2013-0061895,nan,한국생명공학연구원;,"C12N 9/00,C12N 15/64",대한민국,nan,nan,nan,폐암 치료용 흡입/주사형 핵산 전달시스템,1711005914,미래창조과학부,한국생명공학연구원,출연연구소,유전자 치료기술,유전학/유전공학,응용연구,306000000,306000000,20130701,20140630
2013,PTO-2013-0025654080,특허,EEG (Electroencephalography) 신호 주파수의 상대적 비율의 변화 감지에 의한 간질발작 예측방법,10-2013-0033842,nan,한국과학기술원;,"A61B 5/369,A61B 5/374",대한민국,nan,nan,nan,바이오메디컬 응용을 위한 생체회로 시뮬레이션 IT융합플랫폼기술 개발,1711005054,미래창조과학부,한국과학기술원,대학,기타 정보기술,기타정보/통신,기초연구,500000000,500000000,20130316,20140315
2013,PTO-2013-0025655321,특허,직물전극 키트 및 이를 장착한 동잡음 최소화 의복,10-2013-0106380,nan,"연세대학교 산학협력단, 건국대학교 산학협력단;","A41D 27/00,A61B 5/24",대한민국,nan,nan,nan,자계유도성 전도율 센싱 방식에 기반한 심장박동 측정 의류의 성능 향상 및 디자인 다양화 연구,1711000441,미래창조과학부,연세대학교,대학,의과학·의공학 기술,달리 분류되지 않는 의류,기초연구,198000000,198000000,20130901,20140831
2013,PTO-2013-0025651550,특허,중계기 기반 셀룰러 시스템에서 스펙트럼 재사용을 위한 자원할당방법,10-2013-0013367,nan,서울대학교 산학협력단;,"H04W 72/04,H04W 72/08",대한민국,nan,nan,nan,중첩 Super-WiFi/LTE 셀룰라 네트워크에서 통합 무선자원관리 기법 설계,1345211164,미래창조과학부,서울대학교,대학,4세대 이동통신,이동통신 시스템,기초연구,49140000,49140000,20130501,20140430
2013,PTO-2013-0025651469,특허,임피던스가 조절 가능한 메카트로닉 시스템 및  메카트로닉 시스템의 기계적 임피던스를 조절하는 제어방법,10-2013-0077728,nan,서강대학교산학협력단;,"B25J 9/16,B25J 19/06,B25J 13/00",대한민국,nan,nan,nan,"고속주행로봇을 위한 4족 보행 동물의 상황인지, 주행패턴 및 균형유지방법의 분석 및 알고리즘화 연구",1711005361,미래창조과학부,서강대학교,대학,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,로봇/자동화기계,기초연구,201691000,201691000,20130501,20140430
2013,PTO-2013-0025651638,특허,음향방출기법을 이용한 현장암반의 손상도 추정 시스템 및 그 추정 방법,10-2013-0043017,nan,김진섭;,"G01N 29/14,G16C 10/00",대한민국,nan,nan,nan,공학적방벽 성능향상 기술개발,1345203479,미래창조과학부,한국원자력연구원,출연연구소,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,방사성폐기물 처분/관리기술,기초연구,1800000000,1800000000,20130301,20140228
2013,PTO-2013-0025652944,특허,금속 분말 제조장치 및 그 제조방법,10-2013-0098774,nan,KAERI/KBSI;,"B22F 9/04,B22F 9/16,G01L 21/00,F04D 19/04",대한민국,nan,nan,nan,ITER 삼중수소 저장·공급 DU용기 개발 및 시험,1711006841,미래창조과학부,한국원자력연구원,출연연구소,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,연료주기기술,기초연구,300000000,300000000,20130201,20140131
2013,PTO-2013-0025651450,특허,베릴륨을 이용한 중성자 발생장치용 표적 및 이를 구비하는 중성자 발생장치,10-2013-0140830,nan,한국원자력연구원;,G21G 4/02,대한민국,nan,nan,nan,고효율 중성자이용 핵물질 핵종분석 기술개발,1711000118,미래창조과학부,한국원자력연구원,출연연구소,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,달리 분류되지 않는 핵연료주기/방사성 폐기물 관리기술,응용연구,523000000,523000000,20130601,20140531
2013,PTO-2013-0025651419,특허,스마트워크 환경에서의 얼굴인식기반 사용자인증 기법,10-2013-0122633,nan,순천향대학교 산학협력단;,"H04L 29/06,G06F 21/32,H04L 9/32,H04L 9/08,G06K 9/00",대한민국,nan,nan,nan,안전한 스마트워크 서비스 제공을 위한 보안 기술 개발,1711004707,미래창조과학부,순천향대학교,대학,정보보안 및 암호기술,서비스/응용보안,기초연구,48300000,48300000,20130501,20140430
2013,PTO-2013-0025651302,특허,신장섬유화증 진단 또는 치료용 조성물,10-2013-0041502,nan,경북대학교 산학협력단;,"A61K 38/17,C12Q 1/68,C12N 15/11,A61K 39/395",대한민국,nan,nan,nan,신장 허혈과 재 관류에 의한 신장 염증과 신 기능 저하에 있어서 히스톤 탈 아세틸화 효소의 역할과 남성 호르몬의 영향,1345207988,미래창조과학부,경북대학교,대학,기타 보건의료 관련 응용기술,생리학,기초연구,44996000,44996000,20130501,20140430
2013,PTO-2013-0025496670,특허,무인비행로봇의 인터넷 기반 원격제어 시스템,10-2013-0073020,nan,서울대 산학협력단;,"G05D 1/00,G06F 3/01,G05D 1/02",대한민국,nan,nan,nan,멀티 스케일 다중 전개형 협업 로봇의 설계 및 생산 기술 개발,1345200932,미래창조과학부,서울대학교,대학,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,로봇 설계기술,기초연구,500000000,500000000,20130316,20140315
2013,PTO-2013-0025649725,특허,사용자단말의 콘텐츠 접근 제어에 따른 콘텐츠 분배 방법 및 시스템,10-2013-0075344,nan,고려대학교 산학협력단;,"H04N 21/266,H04N 21/2347",대한민국,nan,nan,nan,속성 기반 공개키 시스템에 관한 연구,1711001921,미래창조과학부,고려대학교,대학,정보보안 및 암호기술,정보보호,기초연구,182000000,182000000,20130901,20140831
